,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Broad_Type,nearest_station,Station_Lat,Station_Long,violence_score,top_crimes
1044,8226162,HT460441,08/22/2011 03:00:00 PM,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,1122,11,28,27,11,1151988.0,1901284.0,2011,02/10/2018 03:50:01 PM,41.884994578,-87.71733391,"(41.884994578, -87.71733391)",non-violent,California (Green Line),41.88422,-87.696234,0.0967741935483871,
1045,8226284,HT460649,08/22/2011 04:00:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1046,8227135,HT460547,08/22/2011 04:10:00 PM,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176818.0,1895074.0,2011,02/10/2018 03:50:01 PM,41.867428687,-87.626342565,"(41.867428687, -87.626342565)",non-violent,Addison (Red Line),41.947428,-87.653626,0.2608695652173913,
1047,8226290,HT460592,08/22/2011 04:15:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1048,8229422,HT463479,08/22/2011 09:00:00 PM,041XX W IRVING PARK RD,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,1722,17,39,16,08B,1148252.0,1926266.0,2011,02/10/2018 03:50:01 PM,41.953620328,-87.730408248,"(41.953620328, -87.730408248)",violent,18th (Pink Line),41.857908,-87.669147,0.5,
1049,8227440,HT461746,08/23/2011 11:10:00 AM,0000X W 95TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,True,False,634,6,21,49,18,1177762.0,1841949.0,2011,02/10/2018 03:50:01 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)",non-violent,95th/Dan Ryan (Red Line),41.722377,-87.624342,0.1743119266055046,
1050,8228023,HT462566,08/23/2011 05:40:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1051,8227998,HT462449,08/23/2011 05:45:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1052,8228024,HT462537,08/23/2011 05:50:00 PM,006XX S STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,132,1,2,32,26,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1053,8228026,HT462451,08/23/2011 06:00:00 PM,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,132,1,2,32,11,1176452.0,1897617.0,2011,02/10/2018 03:50:01 PM,41.8744151,-87.627609439,"(41.8744151, -87.627609439)",non-violent,Central (Green Line),41.887389,-87.76565,0.009259259259259259,
1054,8228217,HT462689,08/23/2011 06:30:00 PM,046XX W 59TH ST,0810,THEFT,OVER $500,CTA PLATFORM,False,False,813,8,23,62,06,1146457.0,1864995.0,2011,02/10/2018 03:50:01 PM,41.785519673,-87.738567526,"(41.785519673, -87.738567526)",property,Garfield (Green Line),41.795172,-87.618327,0.0,
1055,8228004,HT462522,08/23/2011 07:00:00 PM,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,924,9,11,34,11,1175739.0,1881773.0,2011,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,"(41.830954079, -87.630703226)",non-violent,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",41.885737,-87.630886,0.052083333333333336,
1056,8228062,HT462576,08/23/2011 07:40:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1057,8228058,HT462590,08/23/2011 07:45:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1058,8229608,HT463550,08/24/2011 01:30:00 PM,059XX W CORCORAN PL,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,1512,15,29,25,26,1136531.0,1901950.0,2011,02/10/2018 03:50:01 PM,41.887112611,-87.774079367,"(41.887112611, -87.774079367)",non-violent,Lake (Red Line),41.884809,-87.627813,0.20689655172413793,
1059,8229646,HT563599,08/24/2011 02:05:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,1114,11,28,26,11,1149512.0,1901446.0,2011,02/10/2018 03:50:01 PM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)",non-violent,Damen (Brown Line),41.966286,-87.678639,0.0,
